filename,width,height,class,xmin,ymin,xmax,ymax
14_16_6.xml,800,800,ship,666,704,677,720
14_16_6.xml,800,800,ship,701,767,716,783
14_16_6.xml,800,800,ship,778,736,797,756
14_15_16.xml,800,800,ship,427,739,432,754
14_16_19.xml,800,800,ship,471,345,497,370
14_14_11.xml,800,800,ship,183,5,205,42
14_12_4.xml,800,800,ship,192,69,200,81
14_12_4.xml,800,800,ship,388,559,397,566
14_14_8.xml,800,800,ship,745,640,774,667
14_17_9.xml,800,800,ship,160,61,191,88
14_17_9.xml,800,800,ship,530,194,555,211
14_17_9.xml,800,800,ship,763,331,795,350
14_17_9.xml,800,800,ship,568,10,585,46
14_18_17.xml,800,800,ship,313,568,328,593
14_18_8.xml,800,800,ship,189,273,209,293
14_16_11.xml,800,800,ship,540,90,580,117
14_16_11.xml,800,800,ship,8,301,28,326
14_16_11.xml,800,800,ship,113,96,129,117
14_15_7.xml,800,800,ship,67,576,86,597
14_15_7.xml,800,800,ship,55,301,77,318
14_15_7.xml,800,800,ship,108,380,136,418
14_15_7.xml,800,800,ship,253,194,269,226
14_15_7.xml,800,800,ship,215,319,233,357
14_15_7.xml,800,800,ship,323,331,344,371
14_15_7.xml,800,800,ship,379,265,391,282
14_16_25.xml,800,800,ship,148,763,159,783
14_17_12.xml,800,800,ship,683,248,712,266
14_17_12.xml,800,800,ship,658,735,699,765
14_15_9.xml,800,800,ship,20,769,61,789
14_15_9.xml,800,800,ship,759,735,780,789
14_17_10.xml,800,800,ship,734,85,748,107
14_14_5.xml,800,800,ship,387,713,402,728
14_14_5.xml,800,800,ship,776,250,790,266
14_11_4.xml,800,800,ship,174,337,186,352
14_11_4.xml,800,800,ship,172,305,183,326
14_17_6.xml,800,800,ship,1,448,22,466
14_17_6.xml,800,800,ship,409,397,427,432
14_17_6.xml,800,800,ship,488,354,508,370
14_17_6.xml,800,800,ship,586,407,614,436
14_17_6.xml,800,800,ship,551,238,565,264
14_17_6.xml,800,800,ship,530,171,545,187
14_17_6.xml,800,800,ship,620,204,634,224
14_17_6.xml,800,800,ship,647,296,665,320
14_17_6.xml,800,800,ship,712,193,738,221
14_17_6.xml,800,800,ship,517,34,531,55
14_17_6.xml,800,800,ship,579,101,597,118
14_17_6.xml,800,800,ship,634,10,648,30
14_17_6.xml,800,800,ship,677,91,692,113
14_17_6.xml,800,800,ship,758,39,791,61
14_17_6.xml,800,800,ship,759,151,774,164
14_17_6.xml,800,800,ship,289,25,308,60
14_17_28.xml,800,800,ship,289,527,303,541
14_17_28.xml,800,800,ship,164,459,178,478
14_17_22.xml,800,800,ship,692,544,747,568
14_11_5.xml,800,800,ship,413,695,421,705
14_17_5.xml,800,800,ship,475,186,487,211
14_17_5.xml,800,800,ship,599,283,617,294
14_17_5.xml,800,800,ship,595,142,606,153
14_17_5.xml,800,800,ship,777,100,788,108
14_17_5.xml,800,800,ship,373,44,382,62
14_17_5.xml,800,800,ship,371,85,383,101
14_17_5.xml,800,800,ship,155,52,167,72
14_17_5.xml,800,800,ship,166,112,178,138
14_17_5.xml,800,800,ship,178,136,199,151
14_17_5.xml,800,800,ship,206,144,238,160
14_17_5.xml,800,800,ship,191,170,209,184
14_17_5.xml,800,800,ship,188,280,208,304
14_17_5.xml,800,800,ship,219,353,228,369
14_17_5.xml,800,800,ship,213,395,222,411
14_17_5.xml,800,800,ship,200,392,211,418
14_17_5.xml,800,800,ship,189,393,199,418
14_17_5.xml,800,800,ship,181,401,191,419
14_17_5.xml,800,800,ship,231,386,237,399
14_17_5.xml,800,800,ship,252,201,261,209
14_17_5.xml,800,800,ship,227,368,232,378
14_17_5.xml,800,800,ship,231,400,235,405
14_17_5.xml,800,800,ship,163,159,175,166
14_17_5.xml,800,800,ship,153,297,175,305
14_17_5.xml,800,800,ship,154,307,175,315
14_19_5.xml,800,800,ship,481,83,489,96
14_2_7.xml,800,800,ship,7,523,28,570
14_2_7.xml,800,800,ship,577,672,593,697
14_2_7.xml,800,800,ship,708,634,723,651
14_2_8.xml,800,800,ship,186,714,196,728
14_7_10.xml,800,800,ship,43,583,66,598
14_7_10.xml,800,800,ship,256,135,278,156
14_19_21.xml,800,800,ship,206,630,237,649
14_20_15.xml,800,800,ship,629,759,657,776
14_3_12.xml,800,800,ship,402,208,405,212
14_3_12.xml,800,800,ship,395,205,398,210
14_5_9.xml,800,800,ship,45,540,62,566
14_3_6.xml,800,800,ship,526,57,543,98
14_3_6.xml,800,800,ship,772,402,797,447
14_3_6.xml,800,800,ship,790,623,800,633
14_19_18.xml,800,800,ship,336,433,367,458
14_19_18.xml,800,800,ship,480,395,508,416
14_2_5.xml,800,800,ship,217,490,226,500
14_2_5.xml,800,800,ship,219,505,226,513
14_2_5.xml,800,800,ship,226,524,235,533
14_20_18.xml,800,800,ship,727,309,769,334
14_3_2.xml,800,800,ship,4,579,26,603
14_3_2.xml,800,800,ship,37,537,47,547
14_3_2.xml,800,800,ship,37,546,54,560
14_3_2.xml,800,800,ship,243,490,252,496
14_5_7.xml,800,800,ship,541,271,555,287
14_19_27.xml,800,800,ship,1,154,26,171
14_4_8.xml,800,800,ship,97,263,112,287
14_4_8.xml,800,800,ship,157,469,167,484
14_4_8.xml,800,800,ship,196,592,210,614
14_19_30.xml,800,800,ship,51,165,87,183
14_19_9.xml,800,800,ship,246,398,263,427
14_4_9.xml,800,800,ship,469,656,481,667
14_7_22.xml,800,800,ship,223,183,242,194
14_7_22.xml,800,800,ship,244,280,253,293
14_7_22.xml,800,800,ship,321,228,330,233
14_7_22.xml,800,800,ship,305,249,317,256
14_1_6.xml,800,800,ship,225,434,236,446
14_19_8.xml,800,800,ship,480,171,505,204
14_19_29.xml,800,800,ship,518,509,550,556
14_19_29.xml,800,800,ship,473,37,507,58
14_5_5.xml,800,800,ship,630,749,639,759
14_20_29.xml,800,800,ship,186,406,224,424
14_4_11.xml,800,800,ship,23,708,45,727
14_7_13.xml,800,800,ship,673,617,687,646
14_3_7.xml,800,800,ship,483,26,506,42
14_3_7.xml,800,800,ship,690,492,704,513
14_4_7.xml,800,800,ship,87,431,115,482
14_2_9.xml,800,800,ship,34,698,46,714
14_6_14.xml,800,800,ship,297,663,311,679
14_6_14.xml,800,800,ship,288,738,299,748
14_3_9.xml,800,800,ship,147,41,160,55
14_1_8.xml,800,800,ship,555,587,571,605
14_1_8.xml,800,800,ship,747,479,762,496
14_7_12.xml,800,800,ship,62,173,86,205
14_7_12.xml,800,800,ship,300,91,319,106
15_13_27.xml,800,800,ship,292,393,317,407
15_13_27.xml,800,800,ship,731,355,781,380
14_7_9.xml,800,800,ship,547,576,569,601
14_7_9.xml,800,800,ship,671,390,703,430
14_7_9.xml,800,800,ship,717,724,734,742
14_9_11.xml,800,800,ship,316,519,350,554
14_9_11.xml,800,800,ship,96,195,124,221
15_14_4.xml,800,800,ship,568,471,594,512
15_14_23.xml,800,800,ship,160,14,179,25
15_14_26.xml,800,800,ship,231,329,243,350
15_14_30.xml,800,800,ship,431,437,443,452
15_13_4.xml,800,800,ship,205,706,224,727
15_14_27.xml,800,800,ship,139,294,157,305
15_14_27.xml,800,800,ship,198,170,226,187
15_14_27.xml,800,800,ship,213,367,234,380
14_9_13.xml,800,800,ship,696,756,714,782
14_9_13.xml,800,800,ship,663,194,676,211
14_9_13.xml,800,800,ship,506,2,521,14
15_15_21.xml,800,800,ship,390,269,420,291
15_15_21.xml,800,800,ship,313,341,347,365
15_15_21.xml,800,800,ship,262,420,299,449
15_15_21.xml,800,800,ship,393,391,433,413
15_15_21.xml,800,800,ship,254,533,270,549
15_15_21.xml,800,800,ship,312,512,330,526
15_15_21.xml,800,800,ship,395,469,418,485
15_15_21.xml,800,800,ship,309,586,328,602
15_15_21.xml,800,800,ship,383,549,402,563
15_15_21.xml,800,800,ship,354,616,376,628
15_15_21.xml,800,800,ship,387,624,414,636
15_15_21.xml,800,800,ship,772,13,800,31
15_12_5.xml,800,800,ship,750,398,774,418
15_13_10.xml,800,800,ship,535,100,559,119
15_13_10.xml,800,800,ship,614,204,645,221
15_13_25.xml,800,800,ship,355,273,401,292
15_13_25.xml,800,800,ship,226,712,245,728
15_13_25.xml,800,800,ship,587,734,610,749
15_12_30.xml,800,800,ship,238,40,255,61
14_8_21.xml,800,800,ship,266,302,295,320
15_15_22.xml,800,800,ship,457,148,492,180
15_15_22.xml,800,800,ship,538,74,569,90
15_15_22.xml,800,800,ship,515,232,539,251
15_15_22.xml,800,800,ship,561,129,600,143
15_15_22.xml,800,800,ship,581,194,613,215
15_15_22.xml,800,800,ship,446,428,486,460
15_15_22.xml,800,800,ship,480,591,501,616
15_15_22.xml,800,800,ship,457,648,477,671
15_15_22.xml,800,800,ship,132,190,156,247
15_15_22.xml,800,800,ship,58,319,81,353
15_15_22.xml,800,800,ship,137,356,156,395
15_15_22.xml,800,800,ship,106,438,129,466
15_15_22.xml,800,800,ship,250,348,276,385
15_15_22.xml,800,800,ship,160,341,183,358
15_15_22.xml,800,800,ship,178,425,201,466
15_15_22.xml,800,800,ship,184,579,212,612
15_15_22.xml,800,800,ship,216,499,249,537
15_15_22.xml,800,800,ship,180,671,209,702
15_15_22.xml,800,800,ship,99,569,113,597
15_15_22.xml,800,800,ship,108,622,121,648
15_15_22.xml,800,800,ship,69,478,83,495
15_15_22.xml,800,800,ship,122,665,142,685
15_15_22.xml,800,800,ship,106,750,120,765
15_15_22.xml,800,800,ship,112,784,127,796
15_15_22.xml,800,800,ship,142,784,157,797
15_15_22.xml,800,800,ship,565,545,584,588
15_15_22.xml,800,800,ship,580,474,592,509
15_15_22.xml,800,800,ship,612,492,619,512
15_15_22.xml,800,800,ship,606,513,616,532
15_15_22.xml,800,800,ship,594,548,611,578
15_15_22.xml,800,800,ship,593,577,607,601
15_15_22.xml,800,800,ship,590,604,603,631
15_15_22.xml,800,800,ship,619,679,639,688
15_15_22.xml,800,800,ship,617,695,637,702
15_15_22.xml,800,800,ship,646,644,656,658
15_15_22.xml,800,800,ship,644,659,654,675
15_15_22.xml,800,800,ship,642,675,651,694
15_15_22.xml,800,800,ship,581,750,592,776
15_15_22.xml,800,800,ship,619,766,635,792
15_15_22.xml,800,800,ship,641,734,650,755
15_15_22.xml,800,800,ship,644,715,653,732
15_15_22.xml,800,800,ship,731,607,745,618
15_15_22.xml,800,800,ship,747,604,759,611
15_15_22.xml,800,800,ship,712,626,723,631
15_15_22.xml,800,800,ship,718,639,731,646
15_15_22.xml,800,800,ship,720,653,731,659
15_15_22.xml,800,800,ship,730,647,742,654
15_15_22.xml,800,800,ship,683,665,700,701
15_15_22.xml,800,800,ship,674,705,693,731
15_15_22.xml,800,800,ship,677,732,688,748
15_15_22.xml,800,800,ship,673,748,687,771
15_15_22.xml,800,800,ship,664,770,679,800
15_15_22.xml,800,800,ship,591,389,605,405
15_12_4.xml,800,800,ship,33,645,46,671
15_12_4.xml,800,800,ship,22,98,61,120
15_12_22.xml,800,800,ship,108,687,120,719
15_12_22.xml,800,800,ship,260,660,294,686
14_8_20.xml,800,800,ship,201,140,216,150
14_8_20.xml,800,800,ship,302,196,331,209
14_8_20.xml,800,800,ship,291,230,298,241
14_8_20.xml,800,800,ship,308,236,317,246
14_8_20.xml,800,800,ship,319,224,329,231
15_13_16.xml,800,800,ship,26,30,64,54
15_14_15.xml,800,800,ship,151,83,190,113
15_13_24.xml,800,800,ship,142,207,180,240
15_13_24.xml,800,800,ship,157,699,172,721
15_13_24.xml,800,800,ship,591,745,622,765
15_14_21.xml,800,800,ship,239,275,271,290
15_10_22.xml,800,800,ship,640,234,649,256
15_13_13.xml,800,800,ship,93,16,120,39
15_13_13.xml,800,800,ship,647,302,698,337
15_13_13.xml,800,800,ship,308,356,341,380
14_8_10.xml,800,800,ship,1,246,19,273
14_8_10.xml,800,800,ship,150,80,185,111
14_8_10.xml,800,800,ship,29,487,58,509
14_8_10.xml,800,800,ship,142,603,164,623
15_14_12.xml,800,800,ship,723,164,773,197
14_9_10.xml,800,800,ship,122,1,145,13
14_9_10.xml,800,800,ship,580,1,599,13
14_9_10.xml,800,800,ship,221,220,243,241
14_9_10.xml,800,800,ship,748,78,778,99
14_9_10.xml,800,800,ship,278,493,305,508
14_9_10.xml,800,800,ship,475,287,508,314
14_9_10.xml,800,800,ship,456,461,473,477
14_9_10.xml,800,800,ship,710,356,738,375
14_9_10.xml,800,800,ship,488,712,529,746
14_9_10.xml,800,800,ship,697,588,724,610
15_15_12.xml,800,800,ship,735,262,752,282
15_15_11.xml,800,800,ship,201,734,236,754
15_13_23.xml,800,800,ship,156,394,192,419
15_13_23.xml,800,800,ship,540,691,566,720
15_14_25.xml,800,800,ship,266,18,298,39
15_13_6.xml,800,800,ship,643,737,678,754
14_9_9.xml,800,800,ship,412,457,429,504
14_9_9.xml,800,800,ship,755,501,784,550
15_13_28.xml,800,800,ship,230,462,251,479
15_13_28.xml,800,800,ship,283,552,301,566
15_13_28.xml,800,800,ship,569,637,601,655
15_12_13.xml,800,800,ship,595,18,606,29
15_11_1.xml,800,800,ship,445,726,478,751
14_9_12.xml,800,800,ship,604,147,634,179
15_13_14.xml,800,800,ship,546,145,581,167
15_12_8.xml,800,800,ship,187,752,219,774
14_8_13.xml,800,800,ship,462,451,473,462
14_8_13.xml,800,800,ship,524,367,534,389
14_9_15.xml,800,800,ship,86,432,124,452
15_12_24.xml,800,800,ship,236,583,260,592
15_12_24.xml,800,800,ship,236,562,260,576
15_12_24.xml,800,800,ship,262,550,275,571
15_12_24.xml,800,800,ship,313,574,329,588
15_12_24.xml,800,800,ship,55,725,63,733
15_12_24.xml,800,800,ship,75,711,91,721
15_12_24.xml,800,800,ship,94,689,109,702
15_12_24.xml,800,800,ship,708,537,729,560
15_12_24.xml,800,800,ship,670,692,716,722
15_12_24.xml,800,800,ship,774,634,800,654
15_12_24.xml,800,800,ship,113,652,121,658
15_12_24.xml,800,800,ship,106,659,113,664
15_12_25.xml,800,800,ship,104,569,131,593
15_12_25.xml,800,800,ship,134,696,173,725
15_12_25.xml,800,800,ship,10,260,21,267
15_12_25.xml,800,800,ship,11,266,20,274
15_12_25.xml,800,800,ship,9,278,19,288
15_14_28.xml,800,800,ship,66,91,87,106
15_13_2.xml,800,800,ship,475,78,501,101
15_12_27.xml,800,800,ship,361,94,368,102
15_12_27.xml,800,800,ship,377,95,389,103
15_12_27.xml,800,800,ship,729,679,745,694
15_12_27.xml,800,800,ship,397,86,411,92
15_12_27.xml,800,800,ship,370,49,380,55
15_12_27.xml,800,800,ship,394,12,401,21
15_12_27.xml,800,800,ship,399,9,406,18
15_12_27.xml,800,800,ship,383,19,391,27
15_14_19.xml,800,800,ship,217,299,259,337
15_12_2.xml,800,800,ship,349,672,377,691
15_14_20.xml,800,800,ship,501,80,518,91
15_12_15.xml,800,800,ship,1,110,16,153
14_9_8.xml,800,800,ship,325,209,350,251
15_14_16.xml,800,800,ship,340,239,373,263
15_13_11.xml,800,800,ship,317,446,343,459
15_13_11.xml,800,800,ship,601,374,628,393
15_15_17.xml,800,800,ship,202,411,229,463
15_14_9.xml,800,800,ship,503,354,562,384
15_14_9.xml,800,800,ship,572,189,604,205
15_13_5.xml,800,800,ship,534,1,563,17
15_15_19.xml,800,800,ship,277,187,299,201
15_15_19.xml,800,800,ship,472,197,502,227
15_13_15.xml,800,800,ship,187,438,217,460
15_15_20.xml,800,800,ship,387,294,423,319
15_15_15.xml,800,800,ship,6,560,48,592
15_15_15.xml,800,800,ship,444,638,496,666
15_15_15.xml,800,800,ship,18,123,30,149
15_14_2.xml,800,800,ship,497,41,528,55
14_8_9.xml,800,800,ship,38,296,67,340
14_8_9.xml,800,800,ship,774,105,793,120
14_8_22.xml,800,800,ship,278,729,305,751
15_13_29.xml,800,800,ship,169,526,194,545
15_14_3.xml,800,800,ship,609,80,633,97
15_13_3.xml,800,800,ship,503,122,536,143
15_13_20.xml,800,800,ship,322,402,374,429
15_14_22.xml,800,800,ship,146,460,165,473
15_14_22.xml,800,800,ship,286,712,302,736
15_14_22.xml,800,800,ship,334,43,360,62
14_9_14.xml,800,800,ship,57,519,66,540
14_9_14.xml,800,800,ship,187,381,196,392
14_9_14.xml,800,800,ship,271,181,291,199
14_9_14.xml,800,800,ship,473,445,485,457
15_11_19.xml,800,800,ship,733,700,750,736
15_14_13.xml,800,800,ship,65,472,115,497
15_14_13.xml,800,800,ship,309,1,356,26
15_17_27.xml,800,800,ship,673,274,686,286
15_16_21.xml,800,800,ship,573,186,580,198
15_20_9.xml,800,800,ship,148,393,165,420
15_19_1.xml,800,800,ship,600,660,622,683
15_19_1.xml,800,800,ship,635,701,663,726
15_19_1.xml,800,800,ship,646,751,650,759
15_19_1.xml,800,800,ship,620,742,638,757
15_19_1.xml,800,800,ship,592,698,605,715
15_17_10.xml,800,800,ship,673,204,698,223
15_18_1.xml,800,800,ship,456,727,472,759
15_16_12.xml,800,800,ship,574,415,595,450
15_19_11.xml,800,800,ship,615,331,622,344
15_19_11.xml,800,800,ship,437,499,445,522
15_19_11.xml,800,800,ship,265,53,276,66
15_19_11.xml,800,800,ship,473,764,483,776
15_19_16.xml,800,800,ship,579,456,587,467
15_19_16.xml,800,800,ship,310,461,323,467
15_19_16.xml,800,800,ship,306,468,314,475
15_19_17.xml,800,800,ship,159,324,171,331
15_19_17.xml,800,800,ship,138,331,153,338
15_19_17.xml,800,800,ship,114,339,130,345
15_19_17.xml,800,800,ship,96,341,107,348
15_16_14.xml,800,800,ship,169,95,189,136
15_19_10.xml,800,800,ship,569,493,580,507
15_16_10.xml,800,800,ship,315,462,337,483
15_17_20.xml,800,800,ship,611,145,631,160
15_18_13.xml,800,800,ship,536,729,547,746
15_18_7.xml,800,800,ship,268,1,301,21
15_19_29.xml,800,800,ship,547,182,560,192
15_20_3.xml,800,800,ship,554,268,567,279
15_3_18.xml,800,800,ship,185,89,200,107
15_20_11.xml,800,800,ship,271,657,281,670
15_15_6.xml,800,800,ship,662,469,675,480
15_19_13.xml,800,800,ship,773,5,781,16
15_16_6.xml,800,800,ship,439,734,481,757
15_16_22.xml,800,800,ship,155,32,189,55
15_16_22.xml,800,800,ship,209,94,238,106
15_16_22.xml,800,800,ship,245,146,270,163
15_16_22.xml,800,800,ship,299,185,316,197
15_16_22.xml,800,800,ship,359,182,392,200
15_16_22.xml,800,800,ship,413,38,442,68
15_16_22.xml,800,800,ship,467,146,474,154
15_16_22.xml,800,800,ship,539,104,557,118
15_16_22.xml,800,800,ship,578,81,620,105
15_16_22.xml,800,800,ship,614,35,621,41
15_16_22.xml,800,800,ship,275,243,288,250
15_16_22.xml,800,800,ship,290,244,301,251
15_16_22.xml,800,800,ship,284,234,305,242
15_16_22.xml,800,800,ship,221,248,227,260
15_16_22.xml,800,800,ship,152,158,181,170
15_16_22.xml,800,800,ship,490,236,500,242
15_16_22.xml,800,800,ship,358,239,364,246
15_16_22.xml,800,800,ship,145,143,177,155
15_16_22.xml,800,800,ship,177,216,183,225
15_16_22.xml,800,800,ship,479,235,486,248
15_16_22.xml,800,800,ship,472,234,481,250
15_17_4.xml,800,800,ship,61,25,95,50
15_16_27.xml,800,800,ship,380,597,395,609
15_17_8.xml,800,800,ship,216,506,239,550
15_17_29.xml,800,800,ship,20,644,26,657
15_17_29.xml,800,800,ship,25,664,36,676
15_19_12.xml,800,800,ship,433,229,447,247
15_5_7.xml,800,800,ship,370,51,394,91
15_4_1.xml,800,800,ship,432,457,461,486
15_5_9.xml,800,800,ship,264,391,282,409
15_4_13.xml,800,800,ship,124,215,153,244
15_4_19.xml,800,800,ship,482,390,491,402
15_5_6.xml,800,800,ship,770,55,785,102
15_9_9.xml,800,800,ship,584,135,599,149
15_9_22.xml,800,800,ship,548,640,561,647
15_9_22.xml,800,800,ship,557,638,567,642
15_5_4.xml,800,800,ship,499,507,512,529
15_5_4.xml,800,800,ship,515,512,531,537
15_7_15.xml,800,800,ship,92,747,113,782
15_9_12.xml,800,800,ship,378,254,402,270
15_6_12.xml,800,800,ship,342,27,376,53
15_6_12.xml,800,800,ship,442,523,469,555
15_8_30.xml,800,800,ship,539,385,552,393
15_8_30.xml,800,800,ship,595,366,599,372
15_8_30.xml,800,800,ship,587,365,593,377
15_8_9.xml,800,800,ship,415,503,434,522
15_9_15.xml,800,800,ship,663,26,693,57
12_5_15.xml,800,800,ship,397,566,435,631
12_20_13.xml,800,800,ship,139,682,181,737
12_20_13.xml,800,800,ship,510,620,529,644
12_5_28.xml,800,800,ship,84,151,91,160
12_5_28.xml,800,800,ship,314,19,326,38
12_5_28.xml,800,800,ship,434,215,474,238
12_5_28.xml,800,800,ship,718,268,759,295
12_5_28.xml,800,800,ship,505,510,543,531
12_5_28.xml,800,800,ship,312,492,338,509
12_5_28.xml,800,800,ship,278,496,291,508
12_5_28.xml,800,800,ship,235,682,274,711
12_5_28.xml,800,800,ship,288,748,333,774
12_5_28.xml,800,800,ship,395,706,442,727
12_5_28.xml,800,800,ship,477,732,518,761
12_5_28.xml,800,800,ship,609,706,660,733
12_5_28.xml,800,800,ship,201,560,227,580
12_5_28.xml,800,800,ship,166,551,176,562
12_5_28.xml,800,800,ship,63,506,103,532
12_5_28.xml,800,800,ship,8,485,41,506
12_5_28.xml,800,800,ship,34,549,51,562
12_5_28.xml,800,800,ship,138,551,151,568
12_5_28.xml,800,800,ship,82,570,97,584
12_5_28.xml,800,800,ship,78,597,100,612
12_5_28.xml,800,800,ship,118,584,132,596
12_5_28.xml,800,800,ship,1,611,7,621
12_6_30.xml,800,800,ship,662,477,678,492
12_6_30.xml,800,800,ship,82,599,97,616
12_6_30.xml,800,800,ship,208,612,225,630
12_6_30.xml,800,800,ship,209,468,226,482
12_6_30.xml,800,800,ship,268,516,290,537
12_6_30.xml,800,800,ship,251,477,270,496
12_6_30.xml,800,800,ship,240,397,259,419
12_6_30.xml,800,800,ship,264,444,284,465
12_6_30.xml,800,800,ship,291,420,308,441
12_6_30.xml,800,800,ship,313,475,335,504
12_6_30.xml,800,800,ship,314,546,333,565
12_6_30.xml,800,800,ship,121,324,134,340
12_6_30.xml,800,800,ship,137,369,152,385
12_6_30.xml,800,800,ship,163,400,176,412
12_6_30.xml,800,800,ship,175,371,190,383
12_6_30.xml,800,800,ship,160,312,178,328
12_6_30.xml,800,800,ship,202,318,224,342
12_6_30.xml,800,800,ship,222,339,242,362
12_6_30.xml,800,800,ship,267,346,290,374
12_6_30.xml,800,800,ship,162,267,181,281
12_6_30.xml,800,800,ship,434,69,481,100
12_6_30.xml,800,800,ship,470,14,512,45
12_6_30.xml,800,800,ship,623,31,667,51
12_6_30.xml,800,800,ship,656,162,713,189
12_6_30.xml,800,800,ship,156,158,184,185
12_6_30.xml,800,800,ship,221,171,254,192
12_6_30.xml,800,800,ship,303,114,321,147
12_6_30.xml,800,800,ship,73,220,98,241
12_6_30.xml,800,800,ship,68,140,104,168
12_6_30.xml,800,800,ship,79,51,103,66
12_6_30.xml,800,800,ship,108,77,132,100
12_6_30.xml,800,800,ship,108,25,131,44
12_6_30.xml,800,800,ship,150,80,180,96
12_6_30.xml,800,800,ship,1,286,18,304
12_6_30.xml,800,800,ship,15,210,43,235
12_6_30.xml,800,800,ship,1,90,23,121
12_6_30.xml,800,800,ship,577,749,588,758
12_6_30.xml,800,800,ship,687,267,693,273
12_5_22.xml,800,800,ship,633,65,659,91
12_6_25.xml,800,800,ship,301,581,318,602
12_6_25.xml,800,800,ship,484,569,509,580
12_6_25.xml,800,800,ship,744,17,774,41
12_3_24.xml,800,800,ship,768,477,773,484
12_3_24.xml,800,800,ship,763,487,768,492
12_3_24.xml,800,800,ship,758,549,764,559
12_3_24.xml,800,800,ship,783,556,787,566
12_3_24.xml,800,800,ship,790,509,796,518
12_3_24.xml,800,800,ship,453,280,459,290
12_3_24.xml,800,800,ship,478,259,485,267
12_6_29.xml,800,800,ship,6,100,22,112
12_6_29.xml,800,800,ship,26,167,36,186
12_6_29.xml,800,800,ship,64,120,72,135
12_6_29.xml,800,800,ship,69,107,85,118
12_6_29.xml,800,800,ship,71,72,77,91
12_6_29.xml,800,800,ship,40,63,59,74
12_6_29.xml,800,800,ship,9,54,25,60
12_6_29.xml,800,800,ship,35,44,43,51
12_6_29.xml,800,800,ship,50,45,67,55
12_6_29.xml,800,800,ship,150,68,176,83
12_6_29.xml,800,800,ship,186,77,213,92
12_6_29.xml,800,800,ship,372,131,390,141
12_6_29.xml,800,800,ship,372,123,390,131
12_6_29.xml,800,800,ship,406,128,428,139
12_6_29.xml,800,800,ship,402,137,426,149
12_6_29.xml,800,800,ship,434,134,460,145
12_6_29.xml,800,800,ship,434,145,458,157
12_6_29.xml,800,800,ship,97,154,107,163
12_6_29.xml,800,800,ship,140,177,149,186
12_6_29.xml,800,800,ship,257,210,262,217
12_6_29.xml,800,800,ship,558,42,595,73
12_6_29.xml,800,800,ship,654,62,673,83
12_6_29.xml,800,800,ship,648,103,666,110
12_6_29.xml,800,800,ship,729,99,761,124
12_6_29.xml,800,800,ship,715,34,736,56
12_6_29.xml,800,800,ship,767,29,797,48
12_6_29.xml,800,800,ship,680,341,692,350
12_6_29.xml,800,800,ship,792,313,800,321
12_6_29.xml,800,800,ship,775,278,782,283
12_6_29.xml,800,800,ship,640,335,646,341
12_6_28.xml,800,800,ship,78,40,93,54
12_6_28.xml,800,800,ship,111,57,124,72
12_6_28.xml,800,800,ship,153,95,171,109
12_6_28.xml,800,800,ship,197,109,212,122
12_6_28.xml,800,800,ship,241,103,255,119
