,filename,width,height,class,xmin,ymin,xmax,ymax,inshore,result,det_id,bbox,iou
51,14_16_19,800,800,ship,471,345,497,370,0,1,1708,"[471, 345, 497, 370]",0.6921945810317993
52,14_14_11,800,800,ship,183,5,205,42,0,1,1646,"[183, 5, 205, 42]",0.7237080931663513
53,14_12_4,800,800,ship,192,69,200,81,1,1,1636,"[192, 69, 200, 81]",0.028561362996697426
54,14_12_4,800,800,ship,388,559,397,566,1,0,0,"[388, 559, 397, 566]",0.0
55,14_14_8,800,800,ship,745,640,774,667,0,1,1664,"[745, 640, 774, 667]",0.7528132796287537
56,14_17_9,800,800,ship,160,61,191,88,0,1,1834,"[160, 61, 191, 88]",0.6339460611343384
57,14_17_9,800,800,ship,530,194,555,211,0,1,1836,"[530, 194, 555, 211]",0.6364285349845886
58,14_17_9,800,800,ship,763,331,795,350,0,1,1837,"[763, 331, 795, 350]",0.7659354209899902
59,14_17_9,800,800,ship,568,10,585,46,0,1,1835,"[568, 10, 585, 46]",0.8203238844871521
60,14_18_17,800,800,ship,313,568,328,593,0,1,1848,"[313, 568, 328, 593]",0.7249331474304199
61,14_18_8,800,800,ship,189,273,209,293,0,1,1856,"[189, 273, 209, 293]",0.7311046123504639
62,14_16_11,800,800,ship,540,90,580,117,0,1,1701,"[540, 90, 580, 117]",0.7075469493865967
63,14_16_11,800,800,ship,8,301,28,326,0,1,1702,"[8, 301, 28, 326]",0.4848244786262512
64,14_16_11,800,800,ship,113,96,129,117,0,0,0,"[113, 96, 129, 117]",0.0
65,14_15_7,800,800,ship,67,576,86,597,0,1,1689,"[67, 576, 86, 597]",0.69361811876297
66,14_15_7,800,800,ship,55,301,77,318,0,1,1688,"[55, 301, 77, 318]",0.8366818428039551
67,14_15_7,800,800,ship,108,380,136,418,0,1,1693,"[108, 380, 136, 418]",0.6258906722068787
68,14_15_7,800,800,ship,253,194,269,226,0,1,1691,"[253, 194, 269, 226]",0.8245516419410706
69,14_15_7,800,800,ship,215,319,233,357,0,1,1692,"[215, 319, 233, 357]",0.7704123854637146
70,14_15_7,800,800,ship,323,331,344,371,0,1,1690,"[323, 331, 344, 371]",0.9231314063072205
71,14_15_7,800,800,ship,379,265,391,282,0,1,1687,"[379, 265, 391, 282]",0.5602290630340576
72,14_16_25,800,800,ship,148,763,159,783,0,1,1710,"[148, 763, 159, 783]",0.7370717525482178
73,14_17_12,800,800,ship,683,248,712,266,0,1,1781,"[683, 248, 712, 266]",0.8019725680351257
74,14_17_12,800,800,ship,658,735,699,765,0,1,1780,"[658, 735, 699, 765]",0.6630487442016602
75,14_15_9,800,800,ship,20,769,61,789,0,1,1697,"[20, 769, 61, 789]",0.6923020482063293
76,14_15_9,800,800,ship,759,735,780,789,0,1,1698,"[759, 735, 780, 789]",0.7401533126831055
77,14_17_10,800,800,ship,734,85,748,107,0,1,1771,"[734, 85, 748, 107]",0.7236523628234863
78,14_14_5,800,800,ship,387,713,402,728,0,1,1650,"[387, 713, 402, 728]",0.7677070498466492
79,14_14_5,800,800,ship,776,250,790,266,0,1,1649,"[776, 250, 790, 266]",0.747921884059906
80,14_11_4,800,800,ship,174,337,186,352,1,1,1630,"[174, 337, 186, 352]",0.19796141982078552
81,14_11_4,800,800,ship,172,305,183,326,1,1,1630,"[172, 305, 183, 326]",0.25405049324035645
82,14_17_6,800,800,ship,1,448,22,466,0,1,1818,"[1, 448, 22, 466]",0.7139737606048584
83,14_17_6,800,800,ship,409,397,427,432,0,1,1812,"[409, 397, 427, 432]",0.8867364525794983
84,14_17_6,800,800,ship,488,354,508,370,0,1,1810,"[488, 354, 508, 370]",0.7269168496131897
85,14_17_6,800,800,ship,586,407,614,436,0,1,1806,"[586, 407, 614, 436]",0.6845764517784119
86,14_17_6,800,800,ship,551,238,565,264,0,1,1821,"[551, 238, 565, 264]",0.7773659825325012
87,14_17_6,800,800,ship,530,171,545,187,0,1,1807,"[530, 171, 545, 187]",0.609519898891449
88,14_17_6,800,800,ship,620,204,634,224,0,1,1817,"[620, 204, 634, 224]",0.6313731670379639
89,14_17_6,800,800,ship,647,296,665,320,0,1,1811,"[647, 296, 665, 320]",0.6977115273475647
90,14_17_6,800,800,ship,712,193,738,221,0,1,1815,"[712, 193, 738, 221]",0.7973777055740356
91,14_17_6,800,800,ship,517,34,531,55,0,1,1816,"[517, 34, 531, 55]",0.7470685243606567
92,14_17_6,800,800,ship,579,101,597,118,0,1,1813,"[579, 101, 597, 118]",0.8173688650131226
93,14_17_6,800,800,ship,634,10,648,30,0,1,1820,"[634, 10, 648, 30]",0.8233645558357239
94,14_17_6,800,800,ship,677,91,692,113,0,1,1814,"[677, 91, 692, 113]",0.836820125579834
95,14_17_6,800,800,ship,758,39,791,61,0,1,1809,"[758, 39, 791, 61]",0.8278204202651978
96,14_17_6,800,800,ship,759,151,774,164,0,1,1819,"[759, 151, 774, 164]",0.869698166847229
97,14_17_6,800,800,ship,289,25,308,60,0,1,1808,"[289, 25, 308, 60]",0.8533124327659607
98,14_17_28,800,800,ship,289,527,303,541,0,1,1789,"[289, 527, 303, 541]",0.5162501931190491
99,14_17_28,800,800,ship,164,459,178,478,0,1,1788,"[164, 459, 178, 478]",0.5937257409095764
100,14_17_22,800,800,ship,692,544,747,568,0,1,1784,"[692, 544, 747, 568]",0.7481876611709595
101,14_11_5,800,800,ship,413,695,421,705,0,1,1631,"[413, 695, 421, 705]",0.4920915365219116
102,14_17_5,800,800,ship,475,186,487,211,1,1,1791,"[475, 186, 487, 211]",0.7194754481315613
103,14_17_5,800,800,ship,599,283,617,294,1,1,1790,"[599, 283, 617, 294]",0.7849420309066772
104,14_17_5,800,800,ship,595,142,606,153,1,1,1793,"[595, 142, 606, 153]",0.6873470544815063
105,14_17_5,800,800,ship,777,100,788,108,1,1,1800,"[777, 100, 788, 108]",0.6669243574142456
106,14_17_5,800,800,ship,373,44,382,62,1,1,1799,"[373, 44, 382, 62]",0.5761886835098267
107,14_17_5,800,800,ship,371,85,383,101,1,1,1792,"[371, 85, 383, 101]",0.5025498270988464
108,14_17_5,800,800,ship,155,52,167,72,1,0,0,"[155, 52, 167, 72]",0.0
109,14_17_5,800,800,ship,166,112,178,138,1,0,0,"[166, 112, 178, 138]",0.0
110,14_17_5,800,800,ship,178,136,199,151,1,0,0,"[178, 136, 199, 151]",0.0
111,14_17_5,800,800,ship,206,144,238,160,1,0,0,"[206, 144, 238, 160]",0.0
112,14_17_5,800,800,ship,191,170,209,184,1,0,0,"[191, 170, 209, 184]",0.0
113,14_17_5,800,800,ship,188,280,208,304,1,0,0,"[188, 280, 208, 304]",0.0
114,14_17_5,800,800,ship,219,353,228,369,1,0,0,"[219, 353, 228, 369]",0.0
115,14_17_5,800,800,ship,213,395,222,411,1,1,1797,"[213, 395, 222, 411]",0.8186482787132263
116,14_17_5,800,800,ship,200,392,211,418,1,0,0,"[200, 392, 211, 418]",0.0
117,14_17_5,800,800,ship,189,393,199,418,1,0,0,"[189, 393, 199, 418]",0.0
118,14_17_5,800,800,ship,181,401,191,419,1,0,0,"[181, 401, 191, 419]",0.0
119,14_17_5,800,800,ship,231,386,237,399,1,0,0,"[231, 386, 237, 399]",0.0
120,14_17_5,800,800,ship,252,201,261,209,1,1,1794,"[252, 201, 261, 209]",0.500949501991272
121,14_17_5,800,800,ship,227,368,232,378,1,0,0,"[227, 368, 232, 378]",0.0
122,14_17_5,800,800,ship,231,400,235,405,1,0,0,"[231, 400, 235, 405]",0.0
123,14_17_5,800,800,ship,163,159,175,166,1,0,0,"[163, 159, 175, 166]",0.0
124,14_17_5,800,800,ship,153,297,175,305,1,0,0,"[153, 297, 175, 305]",0.0
125,14_17_5,800,800,ship,154,307,175,315,1,0,0,"[154, 307, 175, 315]",0.0
126,14_19_5,800,800,ship,481,83,489,96,1,1,1871,"[481, 83, 489, 96]",0.6599385142326355
127,14_2_7,800,800,ship,7,523,28,570,0,1,1891,"[7, 523, 28, 570]",0.8563216328620911
128,14_2_7,800,800,ship,577,672,593,697,0,1,1892,"[577, 672, 593, 697]",0.6840922832489014
129,14_2_7,800,800,ship,708,634,723,651,0,1,1893,"[708, 634, 723, 651]",0.5223979353904724
130,14_2_8,800,800,ship,186,714,196,728,0,1,1894,"[186, 714, 196, 728]",0.569284975528717
131,14_7_10,800,800,ship,43,583,66,598,0,1,1927,"[43, 583, 66, 598]",0.6711222529411316
132,14_7_10,800,800,ship,256,135,278,156,0,1,1926,"[256, 135, 278, 156]",0.684460461139679
133,14_19_21,800,800,ship,206,630,237,649,0,1,1865,"[206, 630, 237, 649]",0.7991199493408203
134,14_20_15,800,800,ship,629,759,657,776,0,1,1883,"[629, 759, 657, 776]",0.6693204641342163
135,14_3_12,800,800,ship,402,208,405,212,1,1,1897,"[402, 208, 405, 212]",0.008761915378272533
136,14_3_12,800,800,ship,395,205,398,210,1,1,1897,"[395, 205, 398, 210]",0.046707071363925934
137,14_5_9,800,800,ship,45,540,62,566,0,1,1923,"[45, 540, 62, 566]",0.6352227330207825
138,14_3_6,800,800,ship,526,57,543,98,0,1,1900,"[526, 57, 543, 98]",0.7970166206359863
139,14_3_6,800,800,ship,772,402,797,447,0,1,1902,"[772, 402, 797, 447]",0.8141395449638367
140,14_3_6,800,800,ship,790,623,800,633,0,1,1901,"[790, 623, 800, 633]",0.585261344909668
141,14_19_18,800,800,ship,336,433,367,458,0,1,1864,"[336, 433, 367, 458]",0.6636175513267517
142,14_19_18,800,800,ship,480,395,508,416,0,1,1863,"[480, 395, 508, 416]",0.8028895258903503
143,14_2_5,800,800,ship,217,490,226,500,0,1,1890,"[217, 490, 226, 500]",0.2705287039279938
144,14_2_5,800,800,ship,219,505,226,513,0,1,1890,"[219, 505, 226, 513]",0.13343150913715363
145,14_2_5,800,800,ship,226,524,235,533,0,1,1889,"[226, 524, 235, 533]",0.42695650458335876
146,14_20_18,800,800,ship,727,309,769,334,0,1,1884,"[727, 309, 769, 334]",0.8342089653015137
147,14_3_2,800,800,ship,4,579,26,603,1,1,1898,"[4, 579, 26, 603]",0.6508079767227173
148,14_3_2,800,800,ship,37,537,47,547,1,0,0,"[37, 537, 47, 547]",0.0
149,14_3_2,800,800,ship,37,546,54,560,1,0,0,"[37, 546, 54, 560]",0.0
150,14_3_2,800,800,ship,243,490,252,496,1,0,0,"[243, 490, 252, 496]",0.0
151,14_5_7,800,800,ship,541,271,555,287,0,1,1922,"[541, 271, 555, 287]",0.6482815742492676
152,14_19_27,800,800,ship,1,154,26,171,0,1,1866,"[1, 154, 26, 171]",0.7474024891853333
153,14_4_8,800,800,ship,97,263,112,287,0,1,1911,"[97, 263, 112, 287]",0.7996804118156433
154,14_4_8,800,800,ship,157,469,167,484,0,1,1912,"[157, 469, 167, 484]",0.6963657140731812
155,14_4_8,800,800,ship,196,592,210,614,0,1,1913,"[196, 592, 210, 614]",0.6505783796310425
156,14_19_30,800,800,ship,51,165,87,183,0,1,1870,"[51, 165, 87, 183]",0.7619526386260986
157,14_19_9,800,800,ship,246,398,263,427,0,1,1876,"[246, 398, 263, 427]",0.5884185433387756
158,14_4_9,800,800,ship,469,656,481,667,0,1,1914,"[469, 656, 481, 667]",0.6781691312789917
159,14_7_22,800,800,ship,223,183,242,194,1,1,1940,"[223, 183, 242, 194]",0.5562121868133545
160,14_7_22,800,800,ship,244,280,253,293,1,1,1938,"[244, 280, 253, 293]",0.6673474311828613
161,14_7_22,800,800,ship,321,228,330,233,1,0,0,"[321, 228, 330, 233]",0.0
162,14_7_22,800,800,ship,305,249,317,256,1,0,0,"[305, 249, 317, 256]",0.0
163,14_1_6,800,800,ship,225,434,236,446,0,1,1880,"[225, 434, 236, 446]",0.7711182236671448
164,14_19_8,800,800,ship,480,171,505,204,0,1,1875,"[480, 171, 505, 204]",0.8702464699745178
165,14_19_29,800,800,ship,518,509,550,556,0,1,1868,"[518, 509, 550, 556]",0.5660279989242554
166,14_19_29,800,800,ship,473,37,507,58,0,1,1867,"[473, 37, 507, 58]",0.6657446026802063
167,14_5_5,800,800,ship,630,749,639,759,0,1,1921,"[630, 749, 639, 759]",0.5988867878913879
168,14_20_29,800,800,ship,186,406,224,424,0,1,1885,"[186, 406, 224, 424]",0.7627686262130737
169,14_4_11,800,800,ship,23,708,45,727,0,1,1906,"[23, 708, 45, 727]",0.5647562742233276
170,14_7_13,800,800,ship,673,617,687,646,0,1,1930,"[673, 617, 687, 646]",0.9480395913124084
171,14_3_7,800,800,ship,483,26,506,42,0,1,1903,"[483, 26, 506, 42]",0.658411979675293
172,14_3_7,800,800,ship,690,492,704,513,0,1,1904,"[690, 492, 704, 513]",0.9256425499916077
173,14_4_7,800,800,ship,87,431,115,482,0,1,1910,"[87, 431, 115, 482]",0.8098224997520447
174,14_2_9,800,800,ship,34,698,46,714,0,1,1895,"[34, 698, 46, 714]",0.8109513521194458
175,14_6_14,800,800,ship,297,663,311,679,1,1,1924,"[297, 663, 311, 679]",0.6946999430656433
176,14_6_14,800,800,ship,288,738,299,748,1,1,1925,"[288, 738, 299, 748]",0.5534914135932922
177,14_3_9,800,800,ship,147,41,160,55,0,1,1905,"[147, 41, 160, 55]",0.6565442681312561
178,14_1_8,800,800,ship,555,587,571,605,0,1,1882,"[555, 587, 571, 605]",0.41945064067840576
179,14_1_8,800,800,ship,747,479,762,496,0,1,1881,"[747, 479, 762, 496]",0.839684247970581
180,14_7_12,800,800,ship,62,173,86,205,0,1,1928,"[62, 173, 86, 205]",0.7484776973724365
181,14_7_12,800,800,ship,300,91,319,106,0,1,1929,"[300, 91, 319, 106]",0.5626634359359741
182,15_13_27,800,800,ship,292,393,317,407,0,1,2033,"[292, 393, 317, 407]",0.5211347341537476
183,15_13_27,800,800,ship,731,355,781,380,0,1,2032,"[731, 355, 781, 380]",0.7054312825202942
184,14_7_9,800,800,ship,547,576,569,601,0,1,1942,"[547, 576, 569, 601]",0.7043431997299194
185,14_7_9,800,800,ship,671,390,703,430,0,1,1943,"[671, 390, 703, 430]",0.9272900223731995
186,14_7_9,800,800,ship,717,724,734,742,0,1,1944,"[717, 724, 734, 742]",0.7698779106140137
187,14_9_11,800,800,ship,316,519,350,554,0,1,1971,"[316, 519, 350, 554]",0.7019274830818176
188,14_9_11,800,800,ship,96,195,124,221,0,1,1969,"[96, 195, 124, 221]",0.6642603874206543
189,15_14_4,800,800,ship,568,471,594,512,0,1,2065,"[568, 471, 594, 512]",0.7195839285850525
190,15_14_23,800,800,ship,160,14,179,25,1,1,2056,"[160, 14, 179, 25]",0.5430096983909607
191,15_14_26,800,800,ship,231,329,243,350,0,1,2058,"[231, 329, 243, 350]",0.602523922920227
192,15_14_30,800,800,ship,431,437,443,452,0,1,2064,"[431, 437, 443, 452]",0.5101983547210693
193,15_13_4,800,800,ship,205,706,224,727,0,1,2039,"[205, 706, 224, 727]",0.5044056177139282
194,15_14_27,800,800,ship,139,294,157,305,0,1,2060,"[139, 294, 157, 305]",0.7162219882011414
195,15_14_27,800,800,ship,198,170,226,187,0,1,2059,"[198, 170, 226, 187]",0.6158539056777954
196,15_14_27,800,800,ship,213,367,234,380,0,1,2061,"[213, 367, 234, 380]",0.7514069080352783
197,14_9_13,800,800,ship,696,756,714,782,0,1,1974,"[696, 756, 714, 782]",0.6917082071304321
198,14_9_13,800,800,ship,663,194,676,211,0,1,1973,"[663, 194, 676, 211]",0.6721591949462891
199,14_9_13,800,800,ship,506,2,521,14,0,1,1975,"[506, 2, 521, 14]",0.535861611366272
200,15_15_21,800,800,ship,390,269,420,291,1,1,2078,"[390, 269, 420, 291]",0.7797248363494873
201,15_15_21,800,800,ship,313,341,347,365,1,1,2080,"[313, 341, 347, 365]",0.628445029258728
202,15_15_21,800,800,ship,262,420,299,449,1,1,2082,"[262, 420, 299, 449]",0.8334992527961731
203,15_15_21,800,800,ship,393,391,433,413,1,1,2079,"[393, 391, 433, 413]",0.840417742729187
204,15_15_21,800,800,ship,254,533,270,549,1,1,2083,"[254, 533, 270, 549]",0.6926131844520569
205,15_15_21,800,800,ship,312,512,330,526,1,1,2087,"[312, 512, 330, 526]",0.6980929374694824
206,15_15_21,800,800,ship,395,469,418,485,1,1,2081,"[395, 469, 418, 485]",0.8212354779243469
207,15_15_21,800,800,ship,309,586,328,602,1,1,2084,"[309, 586, 328, 602]",0.8994751572608948
208,15_15_21,800,800,ship,383,549,402,563,1,1,2085,"[383, 549, 402, 563]",0.8933616876602173
209,15_15_21,800,800,ship,354,616,376,628,1,1,2089,"[354, 616, 376, 628]",0.7692521214485168
210,15_15_21,800,800,ship,387,624,414,636,1,1,2088,"[387, 624, 414, 636]",0.5776580572128296
211,15_15_21,800,800,ship,772,13,800,31,1,1,2086,"[772, 13, 800, 31]",0.732812762260437
212,15_12_5,800,800,ship,750,398,774,418,0,1,2009,"[750, 398, 774, 418]",0.8133976459503174
213,15_13_10,800,800,ship,535,100,559,119,0,1,2012,"[535, 100, 559, 119]",0.7027025818824768
214,15_13_10,800,800,ship,614,204,645,221,0,1,2011,"[614, 204, 645, 221]",0.566072940826416
215,15_13_25,800,800,ship,355,273,401,292,0,1,2029,"[355, 273, 401, 292]",0.8284730315208435
216,15_13_25,800,800,ship,226,712,245,728,0,1,2031,"[226, 712, 245, 728]",0.66164231300354
217,15_13_25,800,800,ship,587,734,610,749,0,1,2030,"[587, 734, 610, 749]",0.6862491369247437
218,15_12_30,800,800,ship,238,40,255,61,0,1,2006,"[238, 40, 255, 61]",0.7295922040939331
219,14_8_21,800,800,ship,266,302,295,320,0,1,1955,"[266, 302, 295, 320]",0.8058816194534302
220,15_15_22,800,800,ship,457,148,492,180,1,1,2092,"[457, 148, 492, 180]",0.7930771708488464
221,15_15_22,800,800,ship,538,74,569,90,1,1,2090,"[538, 74, 569, 90]",0.6379921436309814
222,15_15_22,800,800,ship,515,232,539,251,1,1,2098,"[515, 232, 539, 251]",0.7386367321014404
223,15_15_22,800,800,ship,561,129,600,143,1,1,2097,"[561, 129, 600, 143]",0.7410094141960144
224,15_15_22,800,800,ship,581,194,613,215,1,1,2093,"[581, 194, 613, 215]",0.801192045211792
225,15_15_22,800,800,ship,446,428,486,460,1,1,2091,"[446, 428, 486, 460]",0.7769982218742371
226,15_15_22,800,800,ship,480,591,501,616,1,1,2108,"[480, 591, 501, 616]",0.9287810921669006
227,15_15_22,800,800,ship,457,648,477,671,1,1,2105,"[457, 648, 477, 671]",0.6750307679176331
228,15_15_22,800,800,ship,132,190,156,247,1,1,2096,"[132, 190, 156, 247]",0.7184057831764221
229,15_15_22,800,800,ship,58,319,81,353,1,1,2104,"[58, 319, 81, 353]",0.617561399936676
230,15_15_22,800,800,ship,137,356,156,395,1,1,2101,"[137, 356, 156, 395]",0.8404695987701416
231,15_15_22,800,800,ship,106,438,129,466,1,1,2107,"[106, 438, 129, 466]",0.6427013278007507
232,15_15_22,800,800,ship,250,348,276,385,1,1,2094,"[250, 348, 276, 385]",0.6419602632522583
233,15_15_22,800,800,ship,160,341,183,358,1,1,2112,"[160, 341, 183, 358]",0.40349769592285156
234,15_15_22,800,800,ship,178,425,201,466,1,1,2109,"[178, 425, 201, 466]",0.7239024639129639
235,15_15_22,800,800,ship,184,579,212,612,1,1,2100,"[184, 579, 212, 612]",0.6042460799217224
236,15_15_22,800,800,ship,216,499,249,537,1,1,2095,"[216, 499, 249, 537]",0.860724687576294
237,15_15_22,800,800,ship,180,671,209,702,1,1,2099,"[180, 671, 209, 702]",0.6492913961410522
238,15_15_22,800,800,ship,99,569,113,597,1,0,0,"[99, 569, 113, 597]",0.0
239,15_15_22,800,800,ship,108,622,121,648,1,1,2103,"[108, 622, 121, 648]",0.6526910066604614
240,15_15_22,800,800,ship,69,478,83,495,1,0,0,"[69, 478, 83, 495]",0.0
241,15_15_22,800,800,ship,122,665,142,685,1,1,2110,"[122, 665, 142, 685]",0.8257700800895691
242,15_15_22,800,800,ship,106,750,120,765,1,1,2115,"[106, 750, 120, 765]",0.6423598527908325
243,15_15_22,800,800,ship,112,784,127,796,1,0,0,"[112, 784, 127, 796]",0.0
244,15_15_22,800,800,ship,142,784,157,797,1,0,0,"[142, 784, 157, 797]",0.0
245,15_15_22,800,800,ship,565,545,584,588,1,0,0,"[565, 545, 584, 588]",0.0
246,15_15_22,800,800,ship,580,474,592,509,1,0,0,"[580, 474, 592, 509]",0.0
247,15_15_22,800,800,ship,612,492,619,512,1,0,0,"[612, 492, 619, 512]",0.0
248,15_15_22,800,800,ship,606,513,616,532,1,0,0,"[606, 513, 616, 532]",0.0
249,15_15_22,800,800,ship,594,548,611,578,1,0,0,"[594, 548, 611, 578]",0.0
250,15_15_22,800,800,ship,593,577,607,601,1,0,0,"[593, 577, 607, 601]",0.0
251,15_15_22,800,800,ship,590,604,603,631,1,0,0,"[590, 604, 603, 631]",0.0
252,15_15_22,800,800,ship,619,679,639,688,1,1,2106,"[619, 679, 639, 688]",0.17900708317756653
253,15_15_22,800,800,ship,617,695,637,702,1,1,2106,"[617, 695, 637, 702]",0.18433994054794312
254,15_15_22,800,800,ship,646,644,656,658,1,0,0,"[646, 644, 656, 658]",0.0
255,15_15_22,800,800,ship,644,659,654,675,1,0,0,"[644, 659, 654, 675]",0.0
256,15_15_22,800,800,ship,642,675,651,694,1,1,2106,"[642, 675, 651, 694]",0.032169047743082047
257,15_15_22,800,800,ship,581,750,592,776,1,1,2102,"[581, 750, 592, 776]",0.610794186592102
258,15_15_22,800,800,ship,619,766,635,792,1,1,2116,"[619, 766, 635, 792]",0.4567706286907196
259,15_15_22,800,800,ship,641,734,650,755,1,0,0,"[641, 734, 650, 755]",0.0
260,15_15_22,800,800,ship,644,715,653,732,1,0,0,"[644, 715, 653, 732]",0.0
261,15_15_22,800,800,ship,731,607,745,618,1,0,0,"[731, 607, 745, 618]",0.0
262,15_15_22,800,800,ship,747,604,759,611,1,0,0,"[747, 604, 759, 611]",0.0
263,15_15_22,800,800,ship,712,626,723,631,1,0,0,"[712, 626, 723, 631]",0.0
264,15_15_22,800,800,ship,718,639,731,646,1,0,0,"[718, 639, 731, 646]",0.0
265,15_15_22,800,800,ship,720,653,731,659,1,0,0,"[720, 653, 731, 659]",0.0
266,15_15_22,800,800,ship,730,647,742,654,1,0,0,"[730, 647, 742, 654]",0.0
267,15_15_22,800,800,ship,683,665,700,701,1,0,0,"[683, 665, 700, 701]",0.0
